 ,Area,Mean,Min,Max,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret,MinThr,MaxThr,Length
12,4.151E0,2.724E2,1.662E2,5.860E2,-1.470E2,1.706E1,2.160E2,2.268E2,3.302E1,7.108E-3,-3.403E38,3.4e38,1.706E1
13,5.971E0,1.548E2,8.147E1,4.590E2,1.338E2,2.479E1,1.753E2,2.017E2,1.338E2,7.319E-2,-3.403E38,3.4e38,2.479E1
14,6.255E0,2.463E2,1.797E2,5.700E2,1.406E2,2.592E1,1.824E2,1.631E2,1.406E2,4.494E-2,-3.403E38,3.4e38,2.592E1
15,3.412E0,3.755E2,2.696E2,6.435E2,1.205E2,1.411E1,2.239E2,1.610E2,1.205E2,8.485E-3,-3.403E38,3.4e38,1.411E1
16,5.345E0,1.127E2,5.100E1,4.230E2,-1.191E2,2.210E1,6.438E0,1.517E2,6.095E1,2.106E-2,-3.403E38,3.4e38,2.210E1
17,4.606E0,1.986E2,1.178E2,6.010E2,1.457E2,1.905E1,3.434E1,1.309E2,1.457E2,7.085E-2,-3.403E38,3.4e38,1.905E1
18,4.606E0,1.964E2,1.360E2,4.470E2,1.166E2,1.920E1,6.081E1,9.014E1,1.166E2,2.179E-2,-3.403E38,3.4e38,1.920E1
19,5.914E0,2.165E2,1.264E2,4.440E2,9.837E1,2.458E1,1.188E2,7.583E1,9.837E1,5.755E-2,-3.403E38,3.4e38,2.458E1
20,4.378E0,2.185E2,9.226E1,7.546E2,-1.318E2,1.824E1,1.109E2,3.505E1,4.818E1,5.724E-2,-3.403E38,3.4e38,1.824E1
21,8.131E0,1.784E2,9.656E1,5.720E2,-1.220E2,3.374E1,3.985E2,2.396E2,5.799E1,3.170E-3,-3.403E38,3.4e38,3.374E1
22,7.904E0,2.818E2,2.160E2,5.600E2,-9.373E1,3.298E1,3.105E2,2.604E2,8.627E1,1.332E-1,-3.403E38,3.4e38,3.298E1
23,7.961E0,2.889E2,2.236E2,4.570E2,-1.116E2,3.308E1,3.069E2,3.105E2,6.843E1,4.117E-2,-3.403E38,3.4e38,3.308E1
24,8.188E0,1.953E2,8.634E1,4.710E2,-5.698E1,3.413E1,2.940E2,3.298E2,1.230E2,1.422E-2,-3.403E38,3.4e38,3.413E1
25,8.018E0,1.105E2,3.879E1,5.700E2,-1.100E2,3.349E1,3.405E2,1.645E2,7.002E1,9.875E-3,-3.403E38,3.4e38,3.349E1
26,1.046E1,2.022E2,8.483E1,3.880E2,-7.186E1,4.366E1,3.090E2,1.252E2,1.081E2,1.052E-1,-3.403E38,3.4e38,4.366E1
27,9.667E0,2.030E2,9.792E1,4.900E2,-1.065E2,4.029E1,2.783E2,1.331E2,7.350E1,3.067E-3,-3.403E38,3.4e38,4.029E1
28,8.074E0,9.869E1,6.504E1,1.690E2,-1.061E2,3.351E1,2.504E2,1.338E2,7.389E1,6.633E-2,-3.403E38,3.4e38,3.351E1
29,8.302E0,9.468E1,4.800E1,2.670E2,-2.710E1,3.455E1,2.382E2,5.079E1,1.529E2,5.762E-2,-3.403E38,3.4e38,3.455E1
30,8.416E0,2.117E2,1.181E2,4.170E2,-1.103E2,3.508E1,1.438E2,2.990E2,6.972E1,1.331E-1,-3.403E38,3.4e38,3.508E1
31,1.103E1,2.432E2,1.590E2,3.824E2,-8.553E1,4.592E1,1.488E2,3.047E2,9.447E1,2.632E-2,-3.403E38,3.4e38,4.592E1
32,1.399E1,1.633E2,5.419E1,7.089E2,-1.013E2,5.836E1,2.439E2,2.411E2,7.869E1,1.936E-1,-3.403E38,3.4e38,5.836E1
